id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18390615,Beachfront Torquay ID - TQ119,98362024,Great Ocean Retreats,,Surf Coast,-38.32595302391507,144.32806175842143,Entire home/apt,750,2,5,2024-03-03,0.16,123,265,1,
18390648,Southside Bliss ID: 007AI125,98362024,Great Ocean Retreats,,Surf Coast,-38.45621109008789,144.11126708984375,Entire home/apt,466,2,1,2024-01-04,0.17,123,355,1,
18390657,Banool Bliss ID - FH102,98362024,Great Ocean Retreats,,Surf Coast,-38.46499252319336,144.08224487304688,Entire home/apt,550,3,6,2018-10-29,0.07,123,319,0,
18390659,Moggs View ID - MC011,98362024,Great Ocean Retreats,,Surf Coast,-38.46780735355926,144.06222022370227,Entire home/apt,500,3,5,2024-06-10,0.12,123,314,1,
18390663,Beach Haven ID - AI018,98362024,Great Ocean Retreats,,Surf Coast,-38.45998676046635,144.10247888427864,Entire home/apt,550,2,14,2023-05-21,0.22,123,253,0,
18390682,Timbara Hideaway ID - FH001,98362024,Great Ocean Retreats,,Surf Coast,-38.464481353759766,144.0727081298828,Entire home/apt,300,2,7,2022-02-13,0.09,123,335,0,
18390683,Mawson Hideaway ID - AS090,98362024,Great Ocean Retreats,,Surf Coast,-38.40821075439453,144.1842498779297,Entire home/apt,495,2,6,2023-12-17,0.07,123,256,3,
18390688,Sea View ID - AI177,98362024,Great Ocean Retreats,,Surf Coast,-38.45671081542969,144.1034393310547,Entire home/apt,600,2,6,2021-11-21,0.07,123,341,0,
18390691,Seaside Delight ID - AI067,98362024,Great Ocean Retreats,,Surf Coast,-38.45402929380449,144.11244568786987,Entire home/apt,550,2,0,,,123,331,0,
18390701,Kawana ID - EV003,98362024,Great Ocean Retreats,,Surf Coast,-38.470705314867516,144.04835799868064,Entire home/apt,395,2,1,2024-01-27,0.19,123,190,1,
18390722,Holiday House Anglesea ID - AS094,98362024,Great Ocean Retreats,,Surf Coast,-38.41323,144.1749,Entire home/apt,500,2,12,2022-09-25,0.14,123,318,0,
18390729,Top of Noble ID - AS095,98362024,Great Ocean Retreats,,Surf Coast,-38.41487121582031,144.17332458496094,Entire home/apt,425,1,0,,,123,362,0,
18390741,Bush Haven ID - FH081,98362024,Great Ocean Retreats,,Surf Coast,-38.46606353951548,144.0779630219262,Entire home/apt,450,2,0,,,123,335,0,
18390752,Bell St Apartments ID - TQ011,98362024,Great Ocean Retreats,,Surf Coast,-38.33870030668885,144.32331344150123,Entire home/apt,375,2,1,2023-02-05,0.06,123,333,0,
18390763,She Oak Retreat ID - FH079,98362024,Great Ocean Retreats,,Surf Coast,-38.46452,144.07895,Entire home/apt,400,2,0,,,123,345,0,
18390765,Coast n Country ID - AI106,98362024,Great Ocean Retreats,,Surf Coast,-38.46229553222656,144.10205078125,Entire home/apt,,2,4,2022-12-10,0.09,123,0,0,
18390766,Sunnyside ID - AI138,98362024,Great Ocean Retreats,,Surf Coast,-38.464256286621094,144.09898376464844,Entire home/apt,425,3,2,2024-03-31,0.12,123,322,1,
18390770,Southside ID - AI150,98362024,Great Ocean Retreats,,Surf Coast,-38.45699691772461,144.1094207763672,Entire home/apt,400,2,3,2023-02-16,0.05,123,340,0,
18390773,Anglesea Central ID - AS047,98362024,Great Ocean Retreats,,Surf Coast,-38.41112777894373,144.18306712969235,Entire home/apt,,2,6,2023-04-10,0.07,123,343,0,
18390776,Werona Escape ID - FH044,98362024,Great Ocean Retreats,,Surf Coast,-38.464141845703125,144.0805206298828,Entire home/apt,425,2,1,2021-03-08,0.02,123,321,0,
18390782,Moggs Magic ID - MC022,98362024,Great Ocean Retreats,,Surf Coast,-38.4661,144.06619,Entire home/apt,350,2,2,2023-04-10,0.04,123,343,0,
18390797,Vernon Hideaway ID - JJ031,98362024,Great Ocean Retreats,,Surf Coast,-38.3462211718368,144.2959744260801,Entire home/apt,350,2,5,2023-04-10,0.06,123,344,0,
